,FILE,Rahang,Total,N,RMSE
0,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,BOTH,27179.666001728594,2952.0,3.0343374779554204
1,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,UPPER,18033.821696748506,1444.0,3.5339490925710866
2,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,LOWER,9145.844304980092,1508.0,2.4626984166491255
3,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,BOTH,26938.29165570687,2952.0,3.0208339167763314
4,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,UPPER,17614.414782573156,1444.0,3.4926133750212793
5,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,LOWER,9323.876873133713,1508.0,2.4865522764590073
6,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,BOTH,27422.894002362442,2952.0,3.0478842234052577
7,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,UPPER,17749.15945480695,1444.0,3.505946615723631
8,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,LOWER,9673.734547555492,1508.0,2.5327738418427215
