,FILE,Rahang,Total,RMSE
0,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_nc.csv,BOTH,30671.394574686932,3.3335902749533246
1,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_nc.csv,UPPER,18935.09863667789,2.6192638248759104
2,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_nc.csv,LOWER,11736.295938009063,2.062105995568561
3,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_nc.csv,BOTH,31887.691785606046,3.399045677322376
4,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_nc.csv,UPPER,19756.869296883408,2.6754973326713802
5,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_nc.csv,LOWER,12130.822488722655,2.0964793200487972
6,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_nc.csv,BOTH,31924.820679058153,3.401023965536189
7,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_nc.csv,UPPER,19848.614202233493,2.681702236428796
8,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_nc.csv,LOWER,12076.206476824662,2.0917545576105
9,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_wc.csv,BOTH,25879.532418381397,3.0621303337011914
10,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_wc.csv,UPPER,17418.34118817097,2.51216901981533
11,new_data\ld_saved_de_pop10_iter1000_f05_cr07_v2_new_data_wc.csv,LOWER,8461.191230210425,1.7508994821099961
12,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_wc.csv,BOTH,27155.520624982848,3.1367111355976327
13,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_wc.csv,UPPER,18028.394269720007,2.5557830325203357
14,new_data\ld_saved_de_pop100_iter100_f05_cr07_v2_new_data_wc.csv,LOWER,9127.126355262819,1.8184965875313983
15,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_wc.csv,BOTH,27279.22342524588,3.1438474204945055
16,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_wc.csv,UPPER,18214.37590078047,2.568931987860674
17,new_data\ld_saved_de_pop1000_iter10_f05_cr07_v2_new_data_wc.csv,LOWER,9064.847524465416,1.8122817234348982
